x1,y1,z1,M1,x2,y2,z2,M2
-226.01319,298.13483,207.97382,2.95272,-9.7735653,-29.13106,-57.404639,1.73294
22.288851,27.240848,73.803138,1.91124,-10.519708,-28.448257,-57.104163,1.82451
-60.471069,-16.379546,10.197787,1.58559,96.995032,-35.21426,-138.75727,2.13659
-60.884255,-16.781589,10.221856,1.5431,-39.837538,79.45349,106.64579,1.51421
-16.138405,-29.313027,14.696486,5.0,-25.987265,23.947953,-16.982169,2.32025
-15.809906,53.344374,-48.879001,2.36748,-13.396107,-58.141801,59.95418,5.0
-22.253301,53.491686,-51.491393,2.02098,-15.447038,-58.241078,62.791157,1.70075
-9.949518,52.139692,-47.984877,1.71106,-15.170119,-59.161257,63.415667,1.80513
-18.953602,48.852473,-55.577796,2.04716,-14.03504,-58.744917,63.003173,2.47095
-23.251724,53.191825,-52.649385,2.10654,-6.765918,-35.462213,69.492499,1.59333
-22.499341,53.235617,-52.797811,2.75987,147.86687,-70.084655,72.2439,2.224
-23.094384,53.488901,-53.588527,2.79035,184.11728,-60.174223,119.69175,3.15806
-15.840661,50.48962,-54.734931,2.55876,171.67612,-54.167101,117.39082,5.0
-65.7743,-70.795611,71.365024,2.08189,176.28711,-57.476667,119.68021,2.97336
-65.939218,-69.860926,71.205455,2.24005,184.92785,-59.889251,106.09195,2.99494
-64.532511,-69.467129,73.000833,2.03105,193.22196,-40.769105,103.1718,1.77992
-64.754928,-69.672496,72.492707,2.39328,143.81981,-55.099419,93.371468,1.69961
-66.240528,-67.603777,71.406031,2.21186,145.74622,-56.971506,91.750819,5.0
-66.434418,-66.92115,70.960752,2.16295,143.36453,-55.965872,89.407104,2.49549
-66.473196,-67.430279,70.736998,2.11195,-268.23507,-112.32705,-259.13046,5.0
-66.200413,-66.563121,69.028981,2.52696,-265.59521,-135.54869,-275.66483,2.24166
-66.469185,-66.919367,70.047908,2.46406,-261.90536,-149.50473,-276.51049,1.60264
-66.302484,-66.770495,68.659921,2.87735,-280.31037,-83.94887,-267.34765,5.0
-65.980671,-67.130194,68.909973,3.00852,-280.31807,-83.945865,-267.33996,5.0
-65.096353,-67.722228,67.730585,2.19402,-280.13297,-82.639755,-267.50774,5.0
-65.933424,-68.358277,67.686013,2.28893,-280.26374,-83.235179,-266.81593,5.0
-65.979333,-67.464934,67.633863,2.34157,2.5209623,95.376088,-104.64624,2.62598
-65.225167,-67.046844,67.185464,2.13538,12.854942,94.719247,-69.034272,1.80393
-64.800838,-67.422924,67.115931,2.14812,5.8858155,91.703427,-73.200556,1.57056
-66.620731,-70.779565,70.019827,2.45081,-5.4255535,90.522435,-72.735179,1.5128
-65.272414,-68.955102,66.24454,3.18871,-11.59325,93.950508,-67.828041,1.7271
-65.619634,-67.813602,66.426395,2.10588,-12.588908,95.001214,-68.207362,1.51835
