x,y,z,mach
-226.01319,298.13483,207.97382,2.95272
22.288851,27.240848,73.803138,1.91124
-60.471069,-16.379546,10.197787,1.58559
-60.884255,-16.781589,10.221856,1.5431
-16.138405,-29.313027,14.696486,5.0
-15.809906,53.344374,-48.879001,2.36748
-22.253301,53.491686,-51.491393,2.02098
-9.949518,52.139692,-47.984877,1.71106
-18.953602,48.852473,-55.577796,2.04716
-23.251724,53.191825,-52.649385,2.10654
-22.499341,53.235617,-52.797811,2.75987
-23.094384,53.488901,-53.588527,2.79035
-15.840661,50.48962,-54.734931,2.55876
-65.7743,-70.795611,71.365024,2.08189
-65.939218,-69.860926,71.205455,2.24005
-64.532511,-69.467129,73.000833,2.03105
-64.754928,-69.672496,72.492707,2.39328
-66.240528,-67.603777,71.406031,2.21186
-66.434418,-66.92115,70.960752,2.16295
-66.473196,-67.430279,70.736998,2.11195
-66.200413,-66.563121,69.028981,2.52696
-66.469185,-66.919367,70.047908,2.46406
-66.302484,-66.770495,68.659921,2.87735
-65.980671,-67.130194,68.909973,3.00852
-65.096353,-67.722228,67.730585,2.19402
-65.933424,-68.358277,67.686013,2.28893
-65.979333,-67.464934,67.633863,2.34157
-65.225167,-67.046844,67.185464,2.13538
-64.800838,-67.422924,67.115931,2.14812
-66.620731,-70.779565,70.019827,2.45081
-65.272414,-68.955102,66.24454,3.18871
-65.619634,-67.813602,66.426395,2.10588
-65.0237,-67.066567,66.527129,1.93276
-65.643703,-67.457691,66.178127,2.58135
-64.782563,-66.410683,63.272002,2.00544
-64.410383,-66.255794,63.367387,1.54445
-64.59625,-65.431426,63.370062,1.65485
-66.658618,-66.353631,61.52699,2.25621
-64.574409,-66.196178,62.906062,1.63034
-65.415492,-67.219339,62.94172,2.00686
-66.240528,-67.591185,61.453891,2.2323
-62.79686,-62.127158,61.293431,1.72009
-64.125565,-64.184735,62.249956,1.89327
-64.509334,-64.434452,61.460132,5.0
-64.335947,-61.890256,59.660741,3.41515
-64.418406,-61.704612,59.657176,1.76382
-66.659064,-61.46782,61.014407,1.8841
-66.218688,-61.730241,60.913227,1.87166
-65.922281,-61.493672,60.639107,1.86133
-65.834919,-62.172177,60.640444,1.89842
-65.839376,-62.268676,60.492463,1.82724
-66.202196,-61.962686,60.852609,1.87103
-66.238299,-62.270905,60.577151,1.82961
-66.384051,-61.747513,60.592306,1.80313
-66.490134,-61.598195,60.307042,1.74932
-66.492363,-61.988872,60.363649,1.72624
-65.84829,-61.919897,60.435411,1.79584
-65.994042,-61.92792,60.28743,1.63323
-66.375583,-62.352138,60.42293,1.77908
-66.587302,-62.680637,60.436748,2.0226
-66.467848,-62.435154,60.723795,1.95075
-66.268609,-63.722518,60.994795,2.16851
-66.419709,-63.867267,61.075917,2.28455
-66.198184,-64.009454,60.987663,2.18583
-66.076947,-63.242027,60.836117,1.94027
-66.437093,-63.548463,60.681451,2.14892
-65.770734,-63.445166,60.571357,1.95769
-65.1436,-64.812649,61.561757,2.12121
-64.241453,-63.769097,66.417035,1.68374
-63.766756,-64.195544,64.935892,1.5142
-64.049792,-64.184289,64.252596,1.55784
-64.089907,-63.841861,64.726402,1.69293
-64.524043,-62.692449,65.236756,1.72513
-64.314998,-61.967478,66.002957,1.61417
-64.665337,-62.179531,65.274197,1.79302
-64.616308,-62.152565,65.093679,1.76541
-64.211144,-60.688917,62.13897,1.74799
-66.392074,-61.14623,60.676102,1.78749
-66.276632,-61.383467,60.709531,1.92357
-66.609142,-61.356946,60.4626,1.83019
40.104466,-26.027701,94.766904,3.95634
26.881598,-8.4477655,-72.309849,1.8559
-50.572413,6.9054422,-86.774504,2.02081
-52.487692,6.9278398,-86.333237,2.8257
-39.683806,11.68673,-89.734561,4.79229
-51.224508,6.1930628,-88.210183,2.49368
-51.654187,6.2839906,-87.058876,1.91974
-52.435988,5.9144849,-88.384461,2.26312
-49.652883,5.8898586,-87.290207,2.04543
-50.534526,6.4464572,-87.573688,1.69166
-48.318829,4.9938407,-89.678846,2.18876
-47.726016,5.2904704,-89.860701,2.22069
-48.099533,5.4072503,-89.040122,2.17863
-47.04272,5.5509965,-90.494076,2.31116
-46.507404,14.024555,-87.491675,2.19721
-46.930397,13.61226,-86.840917,1.82144
-51.926524,17.189201,-79.917031,5.0
-51.154529,16.062186,-82.570875,1.56265
-50.964205,16.045472,-82.964896,1.63556
-49.892683,17.611079,-84.038646,3.2889
-50.110196,17.96855,-83.448953,1.974
-47.446546,15.678417,-84.782115,2.64003
-46.633544,18.128343,-84.341293,2.14686
-45.998387,17.267314,-84.406815,1.59304
-46.399985,16.308338,-85.488143,4.36419
-46.98433,17.550015,-82.988519,4.35548
-44.84708,17.322695,-85.872803,5.0
-44.203008,18.549218,-85.915593,5.0
-45.243329,17.706464,-85.145826,4.1343
-45.679694,16.189218,-84.901569,3.6213
-43.088251,21.023324,-84.565047,5.0
-43.079336,19.270066,-85.723485,1.95315
